@relation Training

@attribute COUNT numeric
@attribute "POWER SUPPLY VOLTAGE" numeric
@attribute CURRENT numeric
@attribute FREQUENCY numeric
@attribute "NOISE LEVEL" numeric
@attribute "OPERATING VOLTAGE RANGE" numeric


@data
25900 , 13.13 , 1.39 , 374 , 106.04 , 7.32 
26000 , 13.15 , 1.27 , 392 , 104.54 , 7.66 
26100 , 13.14 , 1.35 , 368 , 106.43 , 9.01 
26200 , 13.13 , 1.41 , 372 , 104.71 , 8.33 
26300 , 13.12 , 1.36 , 400 , 104.9 , 8.2 
26400 , 13.15 , 1.42 , 400 , 106.55 , 7.61 
26500 , 13.13 , 1.33 , 404 , 105.46 , 7.32 
26600 , 13.14 , 1.37 , 376 , 106.5 , 7.38 
26700 , 13.14 , 1.39 , 380 , 106.07 , 8.02 
26800 , 13.13 , 1.39 , 366 , 105.01 , 8.08 
26900 , 13.11 , 1.36 , 378 , 106.52 , 7.38 
27000 , 13.14 , 1.39 , 364 , 107.02 , 7.39 
27100 , 13.13 , 1.37 , 384 , 106.57 , 7.54 
27200 , 13.13 , 1.38 , 374 , 105.84 , 7.94 
27300 , 13.13 , 1.15 , 422 , 101.39 , 7.75 
27400 , 13.16 , 1.39 , 370 , 105.36 , 7.86 
27500 , 13.12 , 1.32 , 372 , 104.98 , 8.43 
27600 , 13.12 , 1.32 , 372 , 104.85 , 7.99 
27700 , 13.14 , 1.37 , 392 , 106.6 , 7.75 
27800 , 13.15 , 1.28 , 406 , 104.5 , 7.57 
27900 , 13.13 , 1.33 , 400 , 104.99 , 8.32 
28000 , 13.12 , 1.47 , 358 , 104.85 , 8.06 
28100 , 13.11 , 1.42 , 376 , 105.92 , 7.67 
28200 , 13.12 , 1.41 , 370 , 105.95 , 7.9 
28300 , 13.11 , 1.42 , 374 , 105.71 , 8.62 
28400 , 13.11 , 1.29 , 364 , 104.28 , 7.62 
28500 , 13.1 , 1.44 , 382 , 105.27 , 7.72 
28600 , 13.16 , 1.31 , 430 , 105.3 , 8.1 
28700 , 13.12 , 1.37 , 380 , 107.02 , 8.84 
28800 , 13.11 , 1.33 , 372 , 105.15 , 8.57 
28900 , 13.11 , 1.41 , 396 , 105.96 , 8.35 
29000 , 13.14 , 1.37 , 374 , 104.93 , 7.93 
29100 , 13.12 , 1.41 , 382 , 105.97 , 8.3 
29200 , 13.11 , 1.35 , 384 , 105.16 , 8.28 
29300 , 13.1 , 1.3 , 404 , 104.57 , 7.71 
29400 , 13.12 , 1.37 , 398 , 106.02 , 7.81 
29500 , 13.12 , 1.13 , 438 , 102.65 , 7.9 
29600 , 13.11 , 1.05 , 428 , 100.56 , 9.59 
29700 , 13.1 , 1.33 , 382 , 104.39 , 9.82 
29800 , 13.11 , 1.28 , 416 , 104.24 , 7.86 
29900 , 13.09 , 1.41 , 372 , 107.39 , 8.16 
30000 , 13.09 , 1.36 , 378 , 105.64 , 8.55 
30100 , 13.12 , 1.33 , 380 , 105.06 , 7.61 
30200 , 13.08 , 1.37 , 394 , 107.12 , 8.13 
30300 , 13.1 , 1.26 , 408 , 103.94 , 8 
30400 , 13.11 , 1.4 , 396 , 105.62 , 7.82 
30500 , 13.08 , 1.36 , 434 , 105.72 , 8.84 
30600 , 13.11 , 1.35 , 394 , 103.77 , 8.18 
30700 , 13.07 , 1.1 , 426 , 102.87 , 8.33 
30800 , 13.11 , 1.36 , 378 , 106.04 , 8.21 
30900 , 13.08 , 1.4 , 384 , 107.01 , 8.94 
31000 , 13.07 , 1.41 , 392 , 107.97 , 8.86 
31100 , 13.09 , 1.39 , 394 , 106.45 , 7.62 
31200 , 13.1 , 1.24 , 378 , 104.46 , 8.15 
31300 , 13.08 , 1.38 , 370 , 105.79 , 7.87 
31400 , 13.09 , 1.15 , 504 , 102.23 , 7.92 
31500 , 13.06 , 1.36 , 376 , 105.53 , 7.96 
31600 , 13.1 , 1.3 , 404 , 103.1 , 7.62 
31700 , 13.06 , 1.32 , 404 , 104.16 , 8.2 
31800 , 13.06 , 1.33 , 398 , 104.82 , 8.41 
31900 , 13.08 , 1.35 , 376 , 104.67 , 8.06 
32000 , 13.12 , 0.04 , 0 , 51.8 , 0 
32100 , 13.09 , 1.29 , 398 , 104.32 , 7.69 
32200 , 13.1 , 1.42 , 386 , 105.95 , 8.53 
32300 , 13.07 , 1.42 , 402 , 106.96 , 7.74 
32400 , 13.06 , 1.38 , 370 , 105.46 , 7.73 
32500 , 13.06 , 1.42 , 364 , 106.53 , 7.51 
32600 , 13.07 , 1.36 , 388 , 105.38 , 7.21 
32700 , 13.09 , 1.45 , 442 , 105.73 , 8.16 
32800 , 13.05 , 1.35 , 368 , 104.64 , 9.18 
32900 , 13.06 , 1.43 , 394 , 107.05 , 7.51 
33000 , 13.06 , 1.4 , 370 , 106.81 , 7.8 
33100 , 13.08 , 1.42 , 372 , 105.95 , 7.84 
33200 , 13.07 , 1.42 , 402 , 106.65 , 7.52 
33300 , 13.06 , 1.41 , 386 , 106.36 , 7.96 
33400 , 13.08 , 1.35 , 394 , 104.22 , 8.39 
33500 , 13.07 , 1.41 , 386 , 106.51 , 8.22 
33600 , 13.08 , 1.43 , 394 , 104.94 , 8.35 
33700 , 13.04 , 1.42 , 390 , 105.81 , 7.87 
33800 , 13.12 , 1.43 , 384 , 107.14 , 7.84 
33900 , 13.08 , 1.43 , 372 , 106.99 , 7.79 
34000 , 13.05 , 1.45 , 380 , 106.47 , 8.73 
34100 , 13.09 , 1.43 , 380 , 106.86 , 8.3 
34200 , 13.1 , 1.43 , 382 , 106.98 , 8.13 
34300 , 13.09 , 1.4 , 378 , 106.24 , 7.76 
34400 , 13.11 , 1.42 , 372 , 106.33 , 7.67 
34500 , 13.09 , 1.13 , 398 , 103.35 , 8.81 
34600 , 13.08 , 1.39 , 378 , 106.65 , 7.95 
34700 , 13.08 , 1.25 , 410 , 104.44 , 7.97 
34800 , 13.1 , 1.38 , 390 , 106.45 , 8.28 
34900 , 13.1 , 1.41 , 366 , 107.11 , 8.96 
35000 , 13.11 , 0.97 , 404 , 100.2 , 8.45 
35100 , 13.12 , 1.36 , 378 , 106.37 , 6.59 
35200 , 13.08 , 1.34 , 376 , 105.45 , 8.71 
35300 , 13.07 , 1.38 , 388 , 105.96 , 7.69 
35400 , 13.09 , 1.41 , 380 , 107.13 , 8.19 
35500 , 13.09 , 1.44 , 370 , 107.3 , 9.18 
35600 , 13.13 , 1.37 , 406 , 106.68 , 8.09 
35700 , 13.1 , 1.35 , 394 , 105.68 , 8.8 
35800 , 13.16 , 1.39 , 374 , 105.57 , 7.48 
35900 , 13.13 , 1.45 , 366 , 106.44 , 8.6 
36000 , 13.14 , 1.39 , 382 , 106.28 , 8.47 
36100 , 13.11 , 1.38 , 392 , 105.29 , 8.91 
36200 , 13.12 , 1.38 , 378 , 106.59 , 7.05 
36300 , 13.15 , 1.33 , 388 , 105.63 , 7.35 
36400 , 13.11 , 1.17 , 386 , 103.66 , 7.4 
36500 , 13.16 , 1.4 , 378 , 106.78 , 8.85 
36600 , 13.12 , 1.4 , 376 , 107.06 , 8.07 
36700 , 13.13 , 1.15 , 392 , 102.74 , 8.18 
